"La canción que acaba de sacar Sia es muy buena, suena muy bien",positivo
"La música de Maluma es realmente mala y sin sentido, no se como es que a las persona les gusta",negativo
Hoy es un día normal y tranquilo,neutral
Que bello día,positivo
Estoy enojado contigo,negativo
La biblioteca queda cerca del centro de la ciudad,neutral
La comida estuvo deliciosa ,positivo
Que día tan horrible para salir,negativo
Mi amiga y su madre salieron de compras,neutral
"Hoy sera un gran día, todo saldrá muy bien",positivo
No me gusta encontrarme la oficina sucia,negativo
La clase de ingles la dicta un profesor de Inglaterra,neutral
"Me gusta el cabello de mi novia, es hermosa",positivo
Este teléfono no sirve para nada,negativo
El perro de mi vecina es un pastor aleman,neutral
Adoro cocinar junto a mi familia cada sábado,positivo
"La película estuvo aburrido, que arrepentido estoy de ir al cine",negativo
Cada sábado voy al supermercado con mi esposo,neutral
"Te obsequio este regalo, gracias por ser una buena amiga",positivo
La vecina ya me tiene harto con su música ,negativo
La ciudad amaneció hoy sin tráfico,neutral
Amo llegar a casa y pasar tiempo con mi mascota,positivo
Odio levantarme temprano para ir al trabajo,negativo
La tienda abre en la tarde,neutral
"Se siente muy bien ayudar a los demás, especialmente a los más necesitados",positivo
Que fastidio las grandes colas que se hacen para usar el transporte,negativo
Este mes ha llovido todas las tardes,neutral
"Qué increible fue volver a ver un arcoiris de nuevo, fue hermoso",positivo
El problema con este gobierno es que roban y hacen todo mal,negativo
Los carros deben cuidarse para funcionar,neutral
"Cuando quieras hablar, llamame, tratare de hacerte feliz",positivo
Fue muy triste ver como su mascota estaba enferma y a punto de morir,negativo
El agua es vital para la existencia de la vida,neutral
Pronto voy a graduarme y mi mama esta muy contenta y emocionada,positivo
Nunca había visto una pelicula tan aburrida como esa,negativo
El cine ha evolucionado mucho en los ultimos años,neutral
"Fui a una entrevista de trabajo y lo logré, comienzo a trabajar muy pronto",positivo
"No me fue nada bien en la entrevista, cometí muchos errores",negativo
Hace falta comprar hojas blancas en la oficina,neutral
Estoy seguro que mañana será un gran dia,positivo
"No pude comprar nada, todo esta muy caro, que dificil situación",negativo
Debemos comprar comida para la casa,neutral
Pude ayudar a los necesitados. Eso me hizo sentir muy bien y tranquilo,positivo
"No tengo tiempo de ayudar a nadie, no lo merecen",negativo
Tenemos que comenzar a recoger dinero para la comida,neutral
"Que comida tan rica la que me diste, eres un excelente cocinero!",positivo
"La verdad que es no sabes cocinar, ya no lo hagas mas",negativo
Los aros de cebolla son un acompañante,neutral
"Me encanta escuchar música mientras estudio, me hace sentir tranquilo y contento",positivo
"Hay personas a las que no les gusta escuchar música, que vidas tan tristes",negativo
"Algunas personas aprenden a cantar, no nacen con esa habilidad",neutral
"Mis compañeros de trabajo son excelentes personas, es sencillo trabajar con ellos",positivo
No me gusta trabajar con mis compañeros de la universidad porque es dificil y complicado,negativo
"Cuando voy a clase, siempre suelo subir en autobus",neutral
"Reuni dinero suficiente para comprarme ropa, no puedo estar mas emocionado",positivo
Que rabia siento porque se rompio una de mis llaves y no puedo entrar a mi casa,negativo
Yo naci en una ciudad muy pequeña donde hay mucha gente,neutral
Acabo de terminar un libro que me encantó pues me hizo sentir emocionado en cada página,positivo
Mi equipo perdió el partido y ahora todos se burlan de mi,negativo
Tengo una cita con el médico dentro de algunas semanas,neutral
Nunca pensé que llegaría a ser tan feliz como ahora lo soy contigo. Mi vida es mucho mejor gracias a ti,positivo
He intentado comunicarme con mi mama por horas y no lo he logrado gracias a la ineficiencia de las compañias de telecomunicaciones del pais ,negativo
"Cuando llegue a mi casa, debo limpiar y hacer mis tareas antes de irme a dormir",neutral
El placer y la tranquilidad de ver el sol salir y esconderse es increíble,positivo
Nunca había estado tan decepcionado de una persona en toda mi vida,negativo
Tal parece que el sol está a punto de salir,neutral
Muy de acuerdo con el artículo. Siempre es motivador leer sabias reflexiones. Templan el ánimo y fortalecen el alma. Gracias,positivo
Esa persona ha cometido muchos delitos graves y aun no ha pagado por todo lo malo que ha hecho,negativo
La arepa forma parte del desayuno de todos los venezolanos,neutral
"Estoy totalmente de acuerdo con él, estás haciendo muchas aportaciones a la humanidad, son aportaciones que aportan al crecimiento de quien las lee. ¡Gracias!",positivo
"No aportas nada con todo lo que dices, creo que deberías quedarte callado y comenzar a pensar antes de hablar",negativo
La mesa en la que trabajo es de color gris y de tamaño normal,neutral
"Git es una herramienta genial, hace que la vida de los desarrolladores sea más sencilla. ¡Qué grande eres, Linus Torvalds! ",positivo
"Microsoft no hace nada bueno, todo su software es de mala calidad. Cuando entenderán que nadie quiere sus productos",negativo
"Mi mama fue a comprar cafe y algunos víveres, quizá tarde un poco",neutral
"Esa es una forma inteligente de analizar las cosas, cuando nos equivocamos solo debemos aceptarlo y continuar. Es verlo como aprendizaje.",positivo
"No entiendo por que tienes que comportarte de esa manera, se supone que eres una persona madura, ¡reacciona!",negativo
Debes escribir un reporte de matemáticas para la próxima semana con todos los requerimientos que te di,neutral
"Te agradezco muchísimo todos tus textos, son muy buenos, a mi me han ayudado mucho. Es una literatura de muy alto nivel. He aprendido mucho con todo lo que me has enseñado",positivo
"Los textos que escribes no tienen ningún sentido. Mis estudiantes dicen que no aprenden nada al leerlos. Lo siento, pero eres un mal escritor",negativo
Mis compañeros compraron algunas cosas por internet el día de ayer,neutral
"Excelente comentario. Me ayudas a quererme y a valorarme más, pues quiero vivir disfrutando de la vida",positivo
"Es lamentable, que la discriminación llegue a afectar a una persona tanto que hasta se llegue a quitar la vida",negativo
Mis tíos comenzaron a vender hamburguesas en la esquina de su casa,neutral
Un pequeño cambio positivo puede cambiar tu día entero o tu vida entera,positivo
Que triste que aún exista el racismo y la discriminación en el mundo. Que negativo es todo esto,negativo
Ayer estuvimos estudiando todo el día mi casa,neutral
Es algo maravilloso ser optimista. Te mantiene sano y resiliente,positivo
Es algo decepcionante conocer a alguien y que esa persona sea tan negativa y pesimista,negativo
Existen muchas personas en el mundo que cantan en la ducha y otros que lo hacen en la cocina,neutral
"Es tan corto el amor, y tan largo el olvido.",positivo
"Creo que voy a hacer el ridículo si hablo en público, notarán que estoy nervioso.",negativo
El día a estado muy nublado pero no ha llovido nada.,neutral
"Que felicidad, mi hijo ya es Ingeniero.",positivo
Que dolor siento al ver a mi país en tan malas condiciones.,negativo
"Confiar en ti mismo no garantiza el éxito, pero no hacerlo garantiza el fracaso. ",neutral
Lo mejor de mi vida son mis hijos,positivo
No lo conseguiré si no me ayudas,negativo
"No todos los ojos cerrados duermen, ni todos los ojos abiertos ven ",neutral
Que hermoso es mirar al Cielo y recordar a esa persona que ya no está.,positivo
No hay nada más difícil que olvidar algo que un día nos hizo feliz.,negativo
Tal vez tu amor no es tan grande como creías.,neutral
Mi familia son los que hacen que todo valga la pena.,positivo
"Permanecer encerrado en una emoción tóxica no nos permitirá seguir viviendo, aprender y mejorar como personas.",negativo
"Esperas un mensaje de esa persona, y no te escribe.",neutral
Hoy desperté con muy buen humor.,positivo
Todo lo que hago me sale mal.,negativo
Los sentimientos van y vienen como las nubes en un cielo ventoso.,neutral
"Que bueno, me han invitado a comer. ",positivo
"Si pienso en la muerte, puedo tener más probabilidades de morir.",negativo
"Si no suma, que no reste.",neutral
" Si cuando amo soy feliz, entonces eres mi felicidad.",positivo
Las emociones fuera de control pueden transformar en estúpidas a personas inteligentes.,negativo
"En palabras simples y comunes: yo te extraño, en lenguaje terrenal, mi vida eres tú.",neutral
"Estoy feliz, me he encontrado con una amiga que hacía tiempo no veía.",positivo
Soy un desastre en la cocina.,negativo
"La sangre sólo hace parientes, el amor hace familia.",neutral
"Dios es amor, por eso lo amo.",positivo
La soledad y el sentimiento de ser rechazado es la pobreza más terrible.,negativo
"No siempre se calla para guardar silencio, se calla para conservar la paz.",neutral
Una actitud positiva puede hacer que los sueños se hagan realidad.,positivo
"No sabes hacer nada, eres un desastre.",negativo
"Todo es cuestión de tiempo, sólo aprende a esperar.",neutral
"No sabes lo orgulloso que me siento de ti, te amo hijo",positivo
Estoy convencido que no te va a ir bien.,negativo
"Hoy no puedo ir al trabajo porque no hay paso, total, iré mañana.",neutral
"No hay otro amor como el amor de un hermano, te quiero. ",positivo
"Mañana voy a salir a buscar trabajo, pero como está la situación, seguro no encuentro nada.",negativo
"Creo que hacer empanadas de queso es muy fácil, no se requieren mayores destrezas.",neutral
"Cuando Dios soluciona mis problemas, tengo fe en sus habilidades y me siento feliz por eso.",positivo
No haces nunca lo que te pido.,negativo
"No me gusta lo que está pasando con los precios, pero igual hay que comprar los artículos.",neutral
"Quizás no me he explicado bien, te piudo disculpas.",positivo
"No hay nada que hacer, todo está perdido.",negativo
Cada día aumenta la migración de venezolanos y nadie dice ni hace nada. ,neutral
"Quizás no me he explicado bien, te pido disculpas.",positivo
"Eres un desastre, te compadezco.",negativo
"De verdad no me gusta lo que estás haciendo, deberías cambiar de parecer.",neutral
Cuando quieras ser amado con todo necesitas amar con la misma fuerza que respiras y con el mismo gozo que ríes.,positivo
"No vale la pena seguir aquí, yo mejor me voy del país.",negativo
"Me conformo con lo me pagaron por el proyecto que realicé, está bien así. ",neutral
La amistad es un alma que habita en dos cuerpos; un corazón que habita en dos almas.,positivo
Me caen mal esas personas que cambian la personalidad cuando se juntan con otras personas.,negativo
"Todo pasa por algo, pero lo que no pasa, también es por algo.",neutral
Que bonito es que te tomen de las mano y te devuelvan la calma cuando crees que ya no hay salida. ,positivo
No hay peor decepción que te mientan cuando ya sabes la verdad.,negativo
"No estoy molesta o enojada, solo estoy cansada de dar más de los que recibo.",neutral
"No eres nada del otro  mundo, eres los mejor de este.",positivo
"Por tu forma de actuar mal , nunca llegarás a ningún sitio.",negativo
"El amanecer es un espectáculo hermoso y, sin embargo, la mayor parte de la audiencia duerme todavía.",neutral
"Una persona positiva convierte sus problemas en retos, nunca en obstáculos.",positivo
"Parece enfadada, seguro que es por mi culpa.",negativo
"Dicen que yo no demuestro mis sentimientos, pero estoy lleno de ellos.",neutral
"Estoy muy emocionado de comenzar clases, no puedo con la espera",positivo
"Odio las largas colas del supermercado, son muy cansadas",negativo
"A la venta accesorios de motos y automóviles, interesados preguntar",neutral
"Me gusta el olor de la rama recién cortada, pequeños placeres que alegran la vida",positivo
"Me disgusta la gente que habla a mis espaldas, deberían tener el valor de decirlo de frente",negativo
"Anoche llovió toda la noche, las carretera debe seguir llena de agua",neutral
"Me encantan las donas, las tortas, las merengadas ¡Todo lo que sea dulce! ",positivo
"Que fastidio cuando mis padres me regañan, como si nunca hubiesen tenido mi edad",negativo
El cometa halley es un cometa que pasa por la tierra cada 75 años apróximadamente,neutral
"Me divierten ver las caricaturas animadas, podría hacerlo todo el día",positivo
"Es la quinta vez que se me la luz hoy, ya estoy harto de esta situación",negativo
"La copa del mundo de fútbol se jugará este año en Rusia, 32 países participarán",neutral
"Me gusta como huele mi novia, es una mezcla de chocolate con rosas",positivo
"Que pereza tener que levantarme mañana a las 6, ya quiero terminar clases",negativo
La hallaca es una plato que prepara todos los años mi familia en la época de navidad,neutral
Las manos tan pequeña de mi bebé son la cosa más linda que veré en toda mi vida,positivo
"Mi tía favorita falleció ayer, tuvo un accidente de carro no muy grave pero no lo soportó por su avanzada edad",negativo
Para llegar a la plaza Bolivar solo debes seguir recto y cruzar en la esquina,neutral
"Me calma ver el atardecer, es algo magnífico",positivo
"Odio cuando mi novio me ignora por andar con sus amigos, me hace sentir la persona más insignificante del mundo",negativo
"El anterior campeón de la copa del mundo fue Alemania, le ganó a Argentina en la final",neutral
"Ayer mis padres me realizaron una fiesta sorpresa con todos mis amigos, fue lo máximo",positivo
"Me caí de la moto y me rompí 3 costillas, en estos momentos estoy en la sala de urgencias",negativo
"La fórmula 1 es un deporte automovilístico, en simple palabras una carrera",neutral
"Tu sonrisa es la única razón por la que me levanto todos los días, en serio no sé que haría sin ti",positivo
"Perdí a mi bebé al caer de las escaleras y rodar por ellas, me siento horrible",negativo
"La pesca es un deporte muy practicado en pueblos costeros, en algunos lugares es considerado como deporte",neutral
Que día tan hermoso!. Hay que aprovecharlo,positivo
Todo lo que haces esta mal. Tienes que cambiar,negativo
la clase de hoy estuvo normal,neutral
El señor se ganó la lotería y compro una casa para toda su familia,positivo
"Cuando mi primo corrió para escapar, tropezó y se rompió una pierna. Debe estar muy adolorido",negativo
Ayer escuche una version nueva de la canción que siempre suena en ese lugar,neutral
Hoy mas que nuncs me siento feliz de estar contigo,positivo
Hasta cuando tengo que soportarte con tu desorden?,negativo
Tuve un día de trabajo nornnal ,neutral
El primer trago de café en la mañana es uno de los placeres más bonitos de la vida,positivo
Ayer fui a comer con mis amigos y la comida me hizo sentir muy mal,negativo
Hoy vi unos pantalones en el centro comercial que no veía en mucho tiempo,neutral
"La felicidad es la acción o efecto de hacer feliz en algo, para mi la felicidad eres tu",positivo
A veces siento que nadie me entiende que a nadie le intereso,negativo
